Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled,,Throughput (requests/second),Throughput (requests/second)
3450,6091.8,356.392,1.381,142.393,303.232,505.585,730.904,854.263,1120.382,1976.208,0.003,,6091.8,1674.6
3455,5079.6,399.583,1.611,145.716,328.623,586.869,850.937,1008.28,1286.661,2688.828,0.003,,5079.6,6522.6
3460,3276.4,767.748,2.918,253.627,533.618,917.533,1271.228,1583.729,8162.429,9908.12,0.001,,3276.4,7755
3465,494.4,5300.727,21.384,545.366,7269.333,7563.847,7769.393,7892.866,8097.169,8315.669,0,,494.4,7754.4
3470,2745.2,330.528,1.618,127.798,270.588,484.236,691.848,805.585,1005.099,1518.125,0.003,,2745.2,6863.2
3475,7536.6,271.85,1.212,93.997,216.776,401.236,580.027,698.025,946.76,1613.27,0.004,,7536.6,6733.8
3480,7325,279.053,0.602,96.46,227.669,415.332,593.883,705.686,920.158,1645.242,0.004,,7325,6087.4
3485,6762.6,301.757,1.428,109.176,247.616,441.5,635.971,749.375,992.678,1695.382,0.003,,6762.6,6095.8
3490,6447.2,324.375,1.464,134.336,279.51,473.024,646.492,758.863,974.601,1939.771,0.003,,6447.2,5489.6
3495,5639.8,366.909,1.192,135.968,301.727,536.44,775.661,919.328,1188.892,1764.655,0.003,,5639.8,5477.4
3500,3000.2,1029.798,0.595,128.578,310.856,615.914,5407.843,5572.845,5931.322,6767.648,0.001,,3000.2,5372
3505,2399,402.05,2.085,156.847,325.972,592.662,834.888,981.29,1241.581,2011.251,0.002,,2399,7121.6
3510,2595,1528.03,1.972,148.227,367.884,775.898,7583.782,7834.484,8169.542,9083.764,0.001,,2595,2774.6
3515,321.2,463.064,18.931,335.397,421.734,577.545,739.644,814.324,1108.477,1410.968,0.002,,321.2,7372.8
3520,7698.2,259.918,0.935,92.72,210.093,385.843,550.287,656.153,872.747,1435.317,0.004,,7698.2,6353.8
3525,7514.8,274.861,1.147,91.294,216.369,409.324,590.449,709.439,971.799,1803.55,0.004,,7514.8,6246.8
3530,7049.8,291.627,1.04,107.525,237.804,428.262,610.498,737.13,975.604,2088.45,0.003,,7049.8,4096.2
3535,6452,315.609,1.319,108.124,257.594,473.21,666.574,783.007,1035.393,1694.496,0.003,,6452,4644.8
3540,6190.2,336.769,1.109,121.27,271.489,493.938,717.22,862.144,1140.492,1822.101,0.003,,6190.2,0
3545,5070.6,500.112,0.817,150.927,316.177,577.007,993.781,2106.782,2533.923,3574.36,0.002,,5070.6,348.8
3550,3992,747.739,2.665,142.728,324.373,607.974,876.604,7597.519,8007.726,12547.431,0.001,,3992,7773.4
3555,264.2,6074.682,2.882,7312.371,7437.46,7552.501,7600.657,8029.259,11892.088,12114.022,0,,264.2,8305.2
3560,949.6,1945.936,4.671,237.105,687.72,3974.488,4546.266,4563.674,4602.617,5268.355,0.001,,949.6,7401.6
3565,4335.4,284.342,1.547,107.889,228.55,412.14,615.388,727.274,946.563,1493.888,0.004,,4335.4,7051.4
3570,8056.4,251.9,1.004,88.266,206.517,372.855,532.668,637.13,845.132,1438.565,0.004,,8056.4,4114.8
3575,7513.2,274.093,1.26,94.891,223.737,410.743,580.151,688.502,907.136,1550.601,0.004,,7513.2,6259
3580,6963.4,295.957,1.065,103.258,235.785,436.757,634.07,749.449,997.418,1685.456,0.003,,6963.4,5884.6
3585,6787.4,296.213,1.101,106.18,240.617,444.776,622.822,734.363,941.828,1531.829,0.003,,6787.4,5892.2
3590,6062.6,343.861,1.067,135.859,286.671,501.394,709.239,838.243,1094.626,1753.35,0.003,,6062.6,6735.8
3595,5569.8,326.547,0.723,103.807,256.452,491.232,715.875,860.088,1124.067,1809.671,0.003,,5569.8,6986
