Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled,,Throughput (requests/second),Throughput (requests/second)
920,6099,418.925,0.873,104.362,249.123,461.202,739.203,2223.81,2677.685,3536.8,0.002,,6099,5326.6
925,4808,412.582,0.907,118.69,262.68,483.303,677.452,810.874,8170.874,8859.421,0.002,,4808,0
930,652,4342.906,1.031,99.508,7705.744,7925.945,8090.21,8159.82,8398.392,8839.029,0,,652,6899
935,3435.8,227.024,0.533,72.779,192.495,336.203,486.306,582.029,757.918,1497.317,0.004,,3435.8,9361.4
940,9393.4,223.43,0.736,70.125,176.602,333.317,483.261,590.075,787.197,1467.369,0.004,,9393.4,8748.4
945,8452.4,240.411,0.553,78.063,191.813,359.576,519.633,620.329,827.402,1449.445,0.004,,8452.4,7829.8
950,8118,247.364,0.855,75.444,198.908,371,539.61,642.499,850.558,1855.949,0.004,,8118,6871.2
955,7103,295.318,0.886,108.787,243.112,439.795,612.432,723.574,945.078,1588.198,0.003,,7103,3689.6
960,7109.2,287.719,0.736,88.618,222.951,438.247,629.598,746.296,1004.179,1691.914,0.003,,7109.2,1829.8
965,6513.8,315.312,1.143,100.706,250.797,478.902,677.168,800.927,1066.273,1788.343,0.003,,6513.8,8729.2
970,6230.2,334.094,0.982,109.384,266.124,505.374,712.307,842.193,1125.948,1950.388,0.003,,6230.2,8654.8
975,5898.6,348.158,0.733,105.12,271.605,528.707,760.624,918.636,1217.122,2116.088,0.003,,5898.6,8143.8
980,7344.8,273.978,0.789,78.629,213.966,409.523,613.633,741.584,1034.514,1713.566,0.004,,7344.8,7364.4
985,8049,252.105,0.844,75.855,195.533,379.525,555.078,664.784,891.762,1681.17,0.004,,8049,6920
990,7734.8,265.362,0.607,81.537,205.408,397.874,583.592,697.937,941.608,2014.004,0.004,,7734.8,6196
995,7262.6,311.593,0.611,100.69,228.218,429.655,590.673,704.552,1014.271,6126.38,0.003,,7262.6,8789.4
1000,743.6,2620.223,1.262,92.13,431.067,5166.334,5318.211,5417.835,5704.953,6513.829,0,,743.6,8080.2
1005,6168.6,314.681,0.644,103.623,251.659,471.484,681.475,806.657,1061.27,1960.873,0.003,,6168.6,7428.4
1010,6612,310.373,0.642,92.602,243.681,469.413,680.343,811.753,1069.149,2317.971,0.003,,6612,3632.4
1015,4687.4,945.643,1.214,109.04,285.239,590.972,1109.222,7320.984,7743.901,8743.832,0.001,,4687.4,4202
1020,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,1466.4
1025,7618,222.863,0.764,76.896,183.213,329.317,473.525,568.765,753.929,1497.458,0.004,,7618,8456.6
1030,8713.2,233.963,0.722,71.548,182.162,348.507,514.375,621.02,835.495,1508.77,0.004,,8713.2,8272.6
1035,8010.2,256.897,0.79,81.791,200.603,384.959,560.51,674.259,892.863,1696.957,0.004,,8010.2,7975
1040,7946,257.637,0.63,82.721,202.071,384.868,558.991,671.303,889.517,1756.513,0.004,,7946,7422.8
1045,5776,356.646,0.948,109.667,251.262,478.011,790.851,1149.947,1542.045,2264.14,0.003,,5776,7055.4
1050,6583.4,309.857,0.796,102.522,245.941,467.248,666.209,794.2,1041.049,2103.408,0.003,,6583.4,6488
1055,6557.4,310.681,0.605,102.513,248.381,460.6,677.093,804.415,1093.038,2324.311,0.003,,6557.4,6153.8
1060,6886.8,412.22,0.769,83.179,216.569,426.244,703.719,2703.22,3130.28,4004.933,0.002,,6886.8,6200.8
1065,4632.8,271.449,0.663,88.814,220.222,406.202,585.639,687.403,926.333,1419.785,0.004,,4632.8,5803.2
1070,7796.4,262.618,0.613,82.787,209.483,392.343,565.981,682.022,904.732,1631.706,0.004,,7796.4,5549.4
1075,6958.6,295.064,0.854,97.485,241.606,436.384,625.493,747.467,1003.629,1758.052,0.003,,6958.6,7615
1080,6712,308.962,0.737,98.398,249.33,471.204,662.575,777.994,1032.778,1619.18,0.003,,6712,6743.4
1085,4836.4,422.55,0.606,112.607,277.612,606.88,1022.934,1315.424,1823.363,2771.607,0.002,,4836.4,0
1090,3403.8,1184.958,1.607,123.176,304.368,627.848,7215.999,7505.388,7953.863,8867.438,0.001,,3403.8,4839
1095,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,0
1100,9220.2,219.466,0.618,71.906,176.388,328.183,471.484,564.946,764.142,1282.155,0.005,,9220.2,4946
1105,9028,233.072,0.87,74.213,188.232,348.449,503.425,603.791,788.972,1390.623,0.004,,9028,9116.4
1110,8199,250.147,0.845,80.954,201.092,375.665,538.894,636.668,844.451,1411.57,0.004,,8199,8130.4
1115,7466.4,274.163,1.015,91.212,217.788,412.934,583.655,692.732,923.489,1719.566,0.004,,7466.4,7669.2
1120,7139.8,286.781,0.809,97.131,230.748,430.573,612.252,723.503,950.28,1582.853,0.003,,7139.8,7269
1125,5152.6,403.529,0.811,112.811,272.768,530.147,895.68,1410.185,1858.032,2657.166,0.002,,5152.6,6830.4
1130,6151,331.397,0.583,98.171,259.147,505.287,725.584,864.87,1156.615,2091.559,0.003,,6151,6535.2
